Packet Number,Deed Number,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
D303858,0002,"LAND AT 22 MELDON AVENUE, SHERBURN VILLAGE",Disposal,,04-Jan-10,4550
CC00025,0044,0.20 ACRES OF LAND ADJACENT TO DENE HOUSE,Disposal,,13-Jan-10,1000
D202534,0004,"LAND AT 25 MEADOWFIELD WAY, TANFIELD LEA, STANLEY",Disposal,,25-Jan-10,1600
D200858,0003,"LAND ADJOINING 38 LUMLEY GARDENS, BURNOPFIELD",Disposal,,29-Jan-10,3600
LG00033,0004,"LAND ADJ. THE MASONIC HALL, MIDDLETON RD, SHILDON",Disposal,,01-Feb-10,0
D201268,0002,"LAND LYING TO THE NORTH WEST OF SABIN TERRACE, NEW KYO",Disposal,,11-Feb-10,14300
CC00019,0035,LAND TO THE REAR OF 4 MAHOGANY ROW,Disposal,,22-Feb-10,3000
PL00177,0063,LAND ADJACENT TO MOUNT PLEASANT GARAGE STANLEY CROOK COUNTY DURHAM,Disposal,,22-Feb-10,15000
SH00049,0046,20 MANOR HOUSE EST.HUTTON HENRY,Disposal,,24-Feb-10,85050
D402476,0017,"GARAGE PLOT AT OAKERSIDE DRIVE, PETERLEE",Disposal,,25-Feb-10,1
ED00068,0010,FORMER EAST STANLEY SCHOOL SITESTANLEY,Disposal,,26-Feb-10,40000
HB11326,0011,"LAND AT MARY STREET, SEAHAM",Disposal,,11-Mar-10,7500
ED00002,0009,"LAND TO REAR OF 32 BENFIELDSIDE ROAD, BLACKHILL",Disposal,,29-Mar-10,3000
PL00390,0017,9.34 ACRES OF LAND AT AMOS DRIVE GREENCROFT INDUSTRIAL PARK STANLEY COUNTY DURHAM,Disposal,,01-Apr-10,21000
D501537,0002,"LAND ADJACENT TO 6 CHEAPSIDE, SHILDON",Disposal,,06-Apr-10,5600
D202753,0002,"LAND ADJACENT TO 29 EGGLESTON DRIVE, CONSETT",Disposal,,09-Apr-10,5250
ED00828,0007,LAND ADJOINING 27 MURRAY COURT BLACKHILL,Disposal,,19-Apr-10,0
D200799,0009,"LAND AT 47 HAMSTERLEY GARDENS, ANNFIELD PLAIN ",Disposal,,21-Apr-10,0
HB04849,0017,"LAND AT STATION LANE, GILESGATE",Disposal,,21-Apr-10,9500
D401430,0002,LAND AT WAYCOTT WINGATE LANE TRIMDON,Disposal,,11-May-10,1700
