Packet Number,Deed Number,,Deed Name,Deed Type,Case Ref,Transaction Date,Consideration Â£
HB12250,0017,,"LAND AT HUMMERBECK, WEST AUCKLAND",Freehold Acquisition,,25-Mar-10,228000
D000139,0001,,LAND SITUATE AT STOCKLEY LANE JUNCTION,Freehold Acquisition,,31-Mar-10,1000
D001023,0003,,"LAND AT STATION ROAD, SEAHAM",Freehold Acquisition,,07-Apr-10,1
D000497,0001,,"LAND AT REDWORK PARK, SHILDON ",Freehold Acquisition,,14-Apr-10,0
D000497,0002,,"LAND AT REDWORTH PARK, SHILDON",Freehold Acquisition,,14-Apr-10,0
D000285,0001,,50-55B NORTH BONDGATE BISHOP AUCKLAND,Freehold Acquisition,,28-Jun-10,650000
D201907,0004,,MEDIC HOUSE FRONT STREET DIPTON,Freehold Acquisition,,16-Jul-10,0
D001539,0001,,"LAND LYING TO THE WEST OF YORK HILL ROAD, SPENNYMOOR",Freehold Acquisition,,20-Jul-10,1
FB00110,0001,,LAND REAR BOWBURN SOUTH INDUSTRIAL ESTATE,Freehold Acquisition,,06-Aug-10,250000
D000498,0001,,"LAND AT DEAN PARK, FERRYHILL",Freehold Acquisition,,21-Sep-10,0
D000329,0001,,"LAND AT OXHILL, STANLEY",Freehold Acquisition,,08-Oct-10,7000
D000505,0001,,"KILKEE HOUSE, NORMAN TERRACE, CHILTON",Freehold Acquisition,,29-Oct-10,140250
D000361,0001,,"20 THE OAKS, ESH WINNING",Freehold Acquisition,,15-Nov-10,52500
D000485,0001,,"LAND AT DRUM INDUSTRIAL ESTATE, CH",Freehold Acquisition,,18-Nov-10,2500
HB11909,0007,,LAND ADJACENT TO A688 WHEATLEY HILL TO BOWBURN LINK,Freehold Acquisition,,18-Nov-10,22356
D000347,0001,,20 CAIN TERRACE WHEATLEY HILL,Freehold Acquisition,,17-Jan-11,57000
D000349,0001,,"30 THE OAKS, ESH WINNING",Freehold Acquisition,,21-Jan-11,78000
D000367,0001,,"LAND AT KENNETH'S FOOTBRIDGE, FROSTERLEY",Freehold Acquisition,,21-Jan-11,500
D000354,0001,,"12 ROWAN COURT, ESH WINNING",Freehold Acquisition,,28-Jan-11,77000
D400203,0099,,19 Boyd Street Easington Colliery ,Freehold Acquisition,,01-Feb-11,25000
D000363,0001,,JUBILEE PARK EELS NOOK BRIDGE BRIDGE STREET HOWDEN LE WEAR CROOK COUNTY DURHAM,Freehold Acquisition,,02-Feb-11,36000
D000362,0001,,"22 CAIN TERRACE, WHEATLEY HILL",Freehold Acquisition,,15-Feb-11,60000
HB12511,0005,,LAND AT HEUGH HALL FARM BOWBURN,Freehold Acquisition,,23-Feb-11,66257
D000348,0001,,"10 ROWAN COURT, ESH WINNING",Freehold Acquisition,,28-Feb-11,78000
